R: 126 	 G: 123 	 B: 107
R: 90 	 G: 76 	 B: 64
R: 19 	 G: 4 	 B: 4294967289
R: 101 	 G: 86 	 B: 74
R: 90 	 G: 76 	 B: 64
R: 67 	 G: 53 	 B: 41
R: 78 	 G: 63 	 B: 51
R: 118 	 G: 104 	 B: 92
R: 149 	 G: 134 	 B: 122
R: 121 	 G: 94 	 B: 86
R: 90 	 G: 63 	 B: 56
R: 121 	 G: 94 	 B: 86
R: 90 	 G: 63 	 B: 56
R: 59 	 G: 44 	 B: 32
R: 110 	 G: 95 	 B: 83
R: 89 	 G: 74 	 B: 62
R: 99 	 G: 84 	 B: 73
R: 126 	 G: 111 	 B: 99
R: 65 	 G: 50 	 B: 38
R: 105 	 G: 91 	 B: 79
R: 65 	 G: 50 	 B: 38
R: 56 	 G: 53 	 B: 38
R: 46 	 G: 43 	 B: 27
R: 77 	 G: 74 	 B: 58
R: 107 	 G: 104 	 B: 89
R: 116 	 G: 113 	 B: 98
R: 127 	 G: 124 	 B: 108
R: 127 	 G: 124 	 B: 108
R: 137 	 G: 134 	 B: 118
R: 67 	 G: 64 	 B: 48
R: 78 	 G: 74 	 B: 59
R: 57 	 G: 54 	 B: 38
R: 67 	 G: 64 	 B: 48
R: 65 	 G: 62 	 B: 46
R: 44 	 G: 41 	 B: 25
R: 85 	 G: 82 	 B: 66
R: 85 	 G: 82 	 B: 66
R: 64 	 G: 61 	 B: 45
R: 94 	 G: 91 	 B: 76
R: 94 	 G: 91 	 B: 76
R: 105 	 G: 102 	 B: 86
R: 114 	 G: 113 	 B: 85
R: 124 	 G: 123 	 B: 96
R: 124 	 G: 123 	 B: 96
R: 114 	 G: 113 	 B: 85
R: 168 	 G: 167 	 B: 139
R: 158 	 G: 157 	 B: 129
R: 148 	 G: 146 	 B: 119
R: 137 	 G: 136 	 B: 109
R: 104 	 G: 93 	 B: 57
R: 134 	 G: 123 	 B: 88
R: 104 	 G: 93 	 B: 57
R: 134 	 G: 123 	 B: 88
R: 134 	 G: 123 	 B: 88
R: 124 	 G: 113 	 B: 78
R: 155 	 G: 144 	 B: 108
R: 165 	 G: 154 	 B: 118
R: 128 	 G: 117 	 B: 81
R: 128 	 G: 117 	 B: 81
R: 128 	 G: 117 	 B: 81
R: 128 	 G: 117 	 B: 81
R: 135 	 G: 124 	 B: 88
R: 104 	 G: 93 	 B: 58
R: 125 	 G: 114 	 B: 78
R: 114 	 G: 103 	 B: 68
R: 146 	 G: 135 	 B: 99
R: 115 	 G: 104 	 B: 68
R: 105 	 G: 94 	 B: 58
R: 115 	 G: 104 	 B: 68
R: 137 	 G: 124 	 B: 100
R: 126 	 G: 113 	 B: 90
R: 137 	 G: 124 	 B: 100
R: 147 	 G: 134 	 B: 110
R: 140 	 G: 127 	 B: 103
R: 140 	 G: 127 	 B: 103
R: 150 	 G: 137 	 B: 114
R: 130 	 G: 117 	 B: 93
R: 103 	 G: 90 	 B: 66
R: 113 	 G: 100 	 B: 76
R: 113 	 G: 100 	 B: 76
R: 123 	 G: 110 	 B: 87
R: 130 	 G: 117 	 B: 94
R: 130 	 G: 117 	 B: 94
R: 120 	 G: 107 	 B: 83
R: 120 	 G: 107 	 B: 83
R: 131 	 G: 118 	 B: 94
R: 121 	 G: 108 	 B: 84
R: 110 	 G: 97 	 B: 74
R: 121 	 G: 108 	 B: 84
R: 111 	 G: 110 	 B: 82
R: 101 	 G: 100 	 B: 72
R: 121 	 G: 120 	 B: 93
R: 111 	 G: 110 	 B: 82
R: 123 	 G: 124 	 B: 84
R: 144 	 G: 144 	 B: 105
R: 164 	 G: 165 	 B: 125
R: 164 	 G: 165 	 B: 125
R: 141 	 G: 130 	 B: 94
R: 121 	 G: 110 	 B: 74
R: 151 	 G: 140 	 B: 105
R: 151 	 G: 140 	 B: 105
R: 106 	 G: 93 	 B: 69
R: 126 	 G: 113 	 B: 89
R: 146 	 G: 133 	 B: 110
R: 146 	 G: 133 	 B: 110
R: 161 	 G: 150 	 B: 115
R: 151 	 G: 140 	 B: 105
R: 141 	 G: 130 	 B: 94
R: 110 	 G: 99 	 B: 64
R: 147 	 G: 136 	 B: 100
R: 126 	 G: 115 	 B: 80
R: 137 	 G: 126 	 B: 90
R: 137 	 G: 126 	 B: 90
R: 161 	 G: 150 	 B: 114
R: 130 	 G: 119 	 B: 84
R: 140 	 G: 129 	 B: 94
R: 151 	 G: 140 	 B: 104
R: 130 	 G: 117 	 B: 93
R: 160 	 G: 147 	 B: 124
R: 181 	 G: 168 	 B: 144
R: 211 	 G: 198 	 B: 175
R: 147 	 G: 132 	 B: 120
R: 76 	 G: 61 	 B: 49
R: 96 	 G: 81 	 B: 69
R: 106 	 G: 91 	 B: 79
R: 87 	 G: 70 	 B: 71
R: 26 	 G: 9 	 B: 9
R: 57 	 G: 40 	 B: 40
R: 57 	 G: 40 	 B: 40
R: 64 	 G: 48 	 B: 48
R: 115 	 G: 99 	 B: 99
R: 95 	 G: 78 	 B: 78
R: 126 	 G: 109 	 B: 109
R: 152 	 G: 135 	 B: 135
R: 162 	 G: 145 	 B: 145
R: 172 	 G: 156 	 B: 156
R: 121 	 G: 105 	 B: 105
R: 155 	 G: 138 	 B: 139
R: 114 	 G: 98 	 B: 98
R: 114 	 G: 98 	 B: 98
R: 94 	 G: 77 	 B: 77
R: 113 	 G: 85 	 B: 89
R: 113 	 G: 85 	 B: 89
R: 103 	 G: 74 	 B: 78
R: 164 	 G: 136 	 B: 140
R: 90 	 G: 62 	 B: 66
R: 70 	 G: 41 	 B: 45
